ticker,snapshot_date,source
NVDA,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
AAPL,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
MSFT,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
AMZN,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
GOOGL,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
AVGO,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
GOOG,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
META,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
MU,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
TSLA,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
JPM,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
BRK-B,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
LLY,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
AMD,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
XOM,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
JNJ,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
V,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
INTC,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
WMT,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
MA,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
ABBV,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
CSCO,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
BAC,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
COST,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
CVX,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
LRCX,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
PLTR,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
CAT,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
AMAT,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
MRK,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
UNH,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
GE,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
KO,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
PG,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
NFLX,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
HD,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
GS,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
PM,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
WFC,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
ORCL,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
RTX,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
MS,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
GEV,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
TXN,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
C,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
IBM,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
TMO,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
